CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
hogan-35527,2021-11-01T12:58:08.450Z,0,0,0
kelley-35528,2021-11-01T12:58:08.450Z,0,0,0
hogan-35527,2021-11-02T16:59:07.517Z,0,0,0
kelly-35528,2021-11-02T16:59:07.517Z,0,0,0
hogan-35527,2021-11-03T00:02:24.297Z,0,0,0
kelly-35528,2021-11-03T00:02:24.297Z,0,0,0
hogan-35527,2021-11-03T02:00:39.060Z,17862,0,0
kelly-35528,2021-11-03T02:00:39.060Z,17956,0,0
hogan-35527,2021-11-03T02:53:16.437Z,46214,0,0
kelly-35528,2021-11-03T02:53:16.437Z,51468,0,0
hogan-35527,2021-11-03T03:08:26.630Z,78935,0,0
kelly-35528,2021-11-03T03:08:26.630Z,84393,0,0
hogan-35527,2021-11-03T03:35:46.100Z,98415,0,0
kelly-35528,2021-11-03T03:35:46.100Z,101261,0,0
hogan-35527,2021-11-03T04:31:24.143Z,99352,0,0
kelly-35528,2021-11-03T04:31:24.143Z,102129,0,0
hogan-35527,2021-11-03T06:01:12.937Z,130348,0,0
kelly-35528,2021-11-03T06:01:12.937Z,111613,0,0
hogan-35527,2021-11-03T13:56:48.550Z,130348,0,0
kelly-35528,2021-11-03T13:56:48.550Z,111613,0,0
