CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
no,2021-11-01T12:58:08.450Z,0,0,0,45,34033
yes,2021-11-01T12:58:08.450Z,0,0,0,45,34033
no,2021-11-02T16:59:07.517Z,0,0,0,45,34033
yes,2021-11-02T16:59:07.517Z,0,0,0,45,34033
no,2021-11-03T00:02:24.297Z,0,0,0,45,34033
yes,2021-11-03T00:02:24.297Z,0,0,0,45,34033
no,2021-11-03T04:54:37.99Z,0,0,0,45,34033
yes,2021-11-03T04:54:37.99Z,0,0,0,45,34033
no,2021-11-03T05:28:53.323Z,6027,0,45,45,34033
yes,2021-11-03T05:28:53.323Z,12407,0,45,45,34033
no,2021-11-03T13:56:55.68Z,6027,0,45,45,34033
yes,2021-11-03T13:56:55.68Z,12407,0,45,45,34033
